Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-09-26,46.48952154327855,46.68202246442219,46.28826860786017,46.314517974853516,556700,0.0,0
2018-09-27,46.35827453003969,46.568279509167034,46.27952308010642,46.29702377319336,469000,0.0,0
2018-09-28,46.23577598248112,46.41952826480825,46.17452522170541,46.37577819824219,535100,0.0,0
2018-10-01,46.515782980387264,46.655785203872576,46.4020301307066,46.50703430175781,955700,0.0,0
2018-10-02,46.498271855347184,46.778276239511015,46.48952317868012,46.64702606201172,615200,0.0,0
2018-10-03,46.83951545119651,46.927018885888806,46.55951113601065,46.62076187133789,534900,0.0,0
2018-10-04,46.51576625477022,46.51576625477022,46.113260424218,46.39326477050781,786800,0.0,0
2018-10-05,46.37577078570241,46.428272859939604,45.947012190887584,46.104515075683594,570100,0.0,0
2018-10-08,46.02576650862922,46.39327437541756,45.99076846153359,46.33202362060547,540700,0.0,0
2018-10-09,46.33201874733991,46.39326949570957,46.139514487940744,46.16576385498047,672700,0.0,0
2018-10-10,46.03451473302416,46.03451473302416,44.98449663455816,45.010746002197266,1731400,0.0,0
2018-10-11,44.93199060793168,45.06324411040965,43.64572163805769,43.86447525024414,2561100,0.0,0
2018-10-12,44.42447523306565,44.43322390715112,43.70696379313283,44.1882209777832,1388300,0.0,0
2018-10-15,44.11822623944963,44.49448271377973,44.065727509580896,44.13572692871094,679600,0.0,0
2018-10-16,44.35448986869072,44.8970013361766,44.25824106437795,44.835750579833984,761600,0.0,0
2018-10-17,44.68699619874223,44.76574764774583,44.28449027624194,44.61699676513672,697300,0.0,0
2018-10-18,44.4594846731723,44.70448764700021,43.9344740090787,44.13572692871094,1189800,0.0,0
2018-10-19,44.24947896116362,44.57323336201175,44.126977476405685,44.24073028564453,648200,0.0,0
2018-10-22,44.31073091843423,44.371981662492544,43.94322645408435,44.10947799682617,672700,0.0,0
2018-10-23,43.51446996787771,44.14448146563596,43.26071496595671,43.92572784423828,1486300,0.0,0
2018-10-24,43.803234591987085,43.90823541539778,42.849468489723584,42.91946792602539,1159300,0.0,0
2018-10-25,43.1119676335636,43.5932249724379,42.8582126108772,43.36572265625,1144700,0.0,0
2018-10-26,43.05945837657725,43.269463303960194,42.50820170078778,42.849456787109375,2515400,0.0,0
2018-10-29,43.2519674497588,43.610723264955865,42.44695236570961,42.96321105957031,1858800,0.0,0
2018-10-30,43.03322248019769,43.873235776792775,43.03322248019769,43.81198501586914,1469500,0.0,0
2018-10-31,44.03073154673945,44.048232238153304,43.62822565796767,43.6369743347168,742500,0.0,0
2018-11-01,43.74197201498584,44.179479221890254,43.67196925968189,44.14447784423828,761500,0.0,0
2018-11-02,44.41573683565579,44.43323752710572,43.62822574790269,44.00448226928711,1203400,0.0,0
2018-11-05,44.09198078861791,44.5732381033225,44.03948205408879,44.503238677978516,819600,0.0,0
2018-11-06,44.47698867238753,44.82699246991518,44.42448660069644,44.800743103027344,993400,0.0,0
2018-11-07,45.15074335864083,45.413250358588115,44.835740966951384,45.360748291015625,1117500,0.0,0
2018-11-08,45.159501833433964,45.45700691641358,45.08949906665493,45.34325408935547,748200,0.0,0
2018-11-09,45.22949655406904,45.32574867941289,44.91449415010092,45.080745697021484,632800,0.0,0
2018-11-12,45.01074464634802,45.04574602742284,44.38073647657844,44.45948791503906,858800,0.0,0
